iter	Passed	Remaining
839	4721	899
840	4726	893
841	4729	887
842	4732	881
843	4737	875
844	4744	870
845	4751	864
846	4754	858
847	4757	852
848	4761	846
849	4764	840
850	4767	834
851	4770	828
852	4772	822
853	4774	816
854	4776	809
855	4779	803
856	4781	797
857	4791	792
858	4798	787
859	4801	781
860	4804	775
861	4812	770
862	4815	764
863	4817	758
864	4818	752
865	4821	746
866	4823	740
867	4832	734
868	4836	729
869	4839	723
870	4846	717
871	4856	712
872	4860	707
873	4863	701
874	4866	695
875	4868	689
876	4870	683
877	4873	677
878	4876	671
879	4878	665
880	4880	659
881	4882	653
882	4884	647
883	4886	641
884	4891	635
885	4893	629
886	4898	624
887	4901	618
888	4904	612
889	4905	606
890	4907	600
891	4909	594
892	4911	588
893	4913	582
894	4915	576
895	4920	571
896	4921	565
897	4923	559
898	4926	553
899	4928	547
900	4930	541
901	4932	535
902	4944	531
903	4946	525
904	4948	519
905	4950	513
906	4952	507
907	4954	501
908	4955	496
909	4957	490
910	4960	484
911	4961	478
912	4963	473
913	4967	467
914	4970	461
915	4972	455
916	4974	450
917	4977	444
918	4980	438
919	4982	433
920	4985	427
921	4987	421
922	4989	416
923	4991	410
924	4993	404
925	4996	399
926	4998	393
927	5000	387
928	5002	382
929	5004	376
930	5006	371
931	5008	365
932	5013	359
933	5015	354
934	5016	348
935	5018	343
936	5020	337
937	5022	331
938	5026	326
939	5028	320
940	5030	315
941	5031	309
942	5033	304
943	5035	298
944	5036	293
945	5038	287
946	5041	282
947	5043	276
948	5044	271
949	5046	265
950	5047	260
951	5049	254
952	5050	249
953	5052	243
954	5053	238
955	5056	232
956	5057	227
957	5059	221
958	5060	216
959	5062	210
960	5064	205
961	5065	200
962	5067	194
963	5068	189
964	5069	183
965	5071	178
966	5073	173
967	5075	167
968	5076	162
969	5078	157
970	5079	151
971	5081	146
972	5083	141
973	5084	135
974	5086	130
975	5088	125
976	5090	119
977	5092	114
978	5093	109
979	5095	103
980	5097	98
981	5099	93
982	5101	88
983	5103	82
984	5105	77
985	5107	72
986	5108	67
987	5110	62
988	5112	56
989	5114	51
990	5116	46
991	5118	41
992	5119	36
993	5121	30
994	5123	25
995	5125	20
996	5127	15
997	5129	10
998	5132	5
999	5134	0
