	material	depth	vc	rake_angle	clearance_angle	expected_cut_force	A	B	C	n	m	d1	d2	d3	d4	d5	densidade	young_modulus	poisson_coef
180	AISI_4140	0.25	3000	-7	5	1160.1576904296899	595.0	580.0	0.023	0.133	1.03	1.5	3.44	-2.12	0.002	0.1	7.8e-09	210000.0	0.3
181	AISI_4140	0.25	3000	-4	5	1213.977392578126	595.0	580.0	0.023	0.133	1.03	1.5	3.44	-2.12	0.002	0.1	7.8e-09	210000.0	0.3
182	AISI_4140	0.25	3000	-1	5	1019.6194213867193	595.0	580.0	0.023	0.133	1.03	1.5	3.44	-2.12	0.002	0.1	7.8e-09	210000.0	0.3
183	AISI_4140	0.25	3000	2	5	1030.6791748046885	595.0	580.0	0.023	0.133	1.03	1.5	3.44	-2.12	0.002	0.1	7.8e-09	210000.0	0.3
184	AISI_4140	0.25	3000	5	5	1267.7479736328162	595.0	580.0	0.023	0.133	1.03	1.5	3.44	-2.12	0.002	0.1	7.8e-09	210000.0	0.3
185	AISI_4140	0.25	3000	8	5	1268.533032226564	595.0	580.0	0.023	0.133	1.03	1.5	3.44	-2.12	0.002	0.1	7.8e-09	210000.0	0.3
186	AISI_4140	0.25	3000	11	5	1230.188549804688	595.0	580.0	0.023	0.133	1.03	1.5	3.44	-2.12	0.002	0.1	7.8e-09	210000.0	0.3
187	AISI_4140	0.25	3000	14	5	1195.28679199219	595.0	580.0	0.023	0.133	1.03	1.5	3.44	-2.12	0.002	0.1	7.8e-09	210000.0	0.3
188	AISI_4140	0.25	3500	-10	5	1171.3984863281262	595.0	580.0	0.023	0.133	1.03	1.5	3.44	-2.12	0.002	0.1	7.8e-09	210000.0	0.3
189	AISI_4140	0.25	3500	-7	5	1221.01989746094	595.0	580.0	0.023	0.133	1.03	1.5	3.44	-2.12	0.002	0.1	7.8e-09	210000.0	0.3
190	AISI_4140	0.25	3500	-4	5	1148.2616210937501	595.0	580.0	0.023	0.133	1.03	1.5	3.44	-2.12	0.002	0.1	7.8e-09	210000.0	0.3
191	AISI_4140	0.25	3500	-1	5	1118.627709960938	595.0	580.0	0.023	0.133	1.03	1.5	3.44	-2.12	0.002	0.1	7.8e-09	210000.0	0.3
192	AISI_4140	0.25	3500	2	5	1007.7800048828125	595.0	580.0	0.023	0.133	1.03	1.5	3.44	-2.12	0.002	0.1	7.8e-09	210000.0	0.3
193	AISI_4140	0.25	3500	5	5	1179.160522460938	595.0	580.0	0.023	0.133	1.03	1.5	3.44	-2.12	0.002	0.1	7.8e-09	210000.0	0.3
194	AISI_4140	0.25	3500	8	5	1301.7495605468762	595.0	580.0	0.023	0.133	1.03	1.5	3.44	-2.12	0.002	0.1	7.8e-09	210000.0	0.3
195	AISI_4140	0.25	3500	11	5	1238.09716796875	595.0	580.0	0.023	0.133	1.03	1.5	3.44	-2.12	0.002	0.1	7.8e-09	210000.0	0.3
